id,sku,name,price,currency,in_stock,categories,short_description,permalink
40p-pin-header-single-row,40p-pin-header-single-row,Pin Header 40Pin Straight Single Row Male Pin Headers 2Pcs,30,BDT,yes,,,https://makersbd.com/product/40p-pin-header-single-row
3-5v-mini-submersible-water-pump,3-5v-mini-submersible-water-pump,DC 3-5V Mini Submersible Water Pump 120L/H,160,BDT,yes,,,https://makersbd.com/product/3-5v-mini-submersible-water-pump
dc3-24v-5a-adjustable-power-supply-lx-925,dc3-24v-5a-adjustable-power-supply-lx-925,DC 3V-24V 5A Adjustable AC To DC Power Adapter with Volt Display,650,BDT,yes,,,https://makersbd.com/product/dc3-24v-5a-adjustable-power-supply-lx-925
esp32-eye-animation-diy-project-pack,esp32-eye-animation-diy-project-pack,ESP32 Eye Animation Diy Project Pack,1850,BDT,yes,,,https://makersbd.com/product/esp32-eye-animation-diy-project-pack
esp32-type-c-development-board-devkit,esp32-type-c-development-board-devkit,ESP32 Development Board Type C New,620,BDT,yes,,,https://makersbd.com/product/esp32-type-c-development-board-devkit
32-in-1-high-hardness-multi-screw-driver-set,32-in-1-high-hardness-multi-screw-driver-set,32 in 1 High Hardness Multifunctional Screwdriver Set,250,BDT,yes,,,https://makersbd.com/product/32-in-1-high-hardness-multi-screw-driver-set
rotary-hammer-drill-bit-for-wall-drill,rotary-hammer-drill-bit-for-wall-drill,"Rotary Hammer Bit Wall Concrete & Block, 6x110 mm",180,BDT,yes,,,https://makersbd.com/product/rotary-hammer-drill-bit-for-wall-drill
3inch-mini-phillips-star-screw-driver,3inch-mini-phillips-star-screw-driver,3 inches Small Star Screw Driver Phillips Head,60,BDT,yes,,,https://makersbd.com/product/3inch-mini-phillips-star-screw-driver
hss-drill-bit-set-13pcs-price-in-bd,hss-drill-bit-set-13pcs-price-in-bd,HSS Drill Bit Set Black 13Pcs,450,BDT,yes,,,https://makersbd.com/product/hss-drill-bit-set-13pcs-price-in-bd
9-in-1-repair-tools-screw-driver-set-price-in-bd,9-in-1-repair-tools-screw-driver-set-price-in-bd,9 in 1 Repair Tools Kit Slotted Phillips Plastic Handle Metal Screwdriver Bit Se...,550,BDT,yes,,,https://makersbd.com/product/9-in-1-repair-tools-screw-driver-set-price-in-bd
2-in-1-multipurpose-auto-adjustable-wrench-set,2-in-1-multipurpose-auto-adjustable-wrench-set,2-in-1 Multipurpose Auto Adjustable Universal Quick Snap Magic Wrench Set Tools,699,BDT,yes,,,https://makersbd.com/product/2-in-1-multipurpose-auto-adjustable-wrench-set
hss-twist-drill-bits-for-drill-machine,hss-twist-drill-bits-for-drill-machine,HSS Twist Drills Bits High For Drill Machine Chuck,140,BDT,yes,,,https://makersbd.com/product/hss-twist-drill-bits-for-drill-machine
anticutter-papercutter-blade-18mm-price-in-bd,anticutter-papercutter-blade-18mm-price-in-bd,Anti Cutter Paper Cutter with High Quality Blade 18mm,120,BDT,yes,,,https://makersbd.com/product/anticutter-papercutter-blade-18mm-price-in-bd
impact-ph2-65mm-screw-bit-set,impact-ph2-65mm-screw-bit-set,Impact Bit Set PH2 x 65mm Double Ended Best Quality Screw Bit Set 10 Pcs,700,BDT,yes,,,https://makersbd.com/product/impact-ph2-65mm-screw-bit-set
adjustable-mini-wrench-price-in-bd,adjustable-mini-wrench-price-in-bd,6 inch Mini Adjustable SLI Wrench,250,BDT,yes,,,https://makersbd.com/product/adjustable-mini-wrench-price-in-bd
wire-cutter-climping%20multitool-price-in-bd,wire-cutter-climping%20multitool-price-in-bd,Wire Stripping Cutting Splitting and Crimping Multi-Tool Pliers for Electrical W...,600,BDT,yes,,,https://makersbd.com/product/wire-cutter-climping%20multitool-price-in-bd
electric-hand-warmer-for-biker-ladies-indoor-outdoor-price-in-bd,electric-hand-warmer-for-biker-ladies-indoor-outdoor-price-in-bd,Electronic Hand Warmer for Bikers Outdoor 3 Heat Mode Pocket Heaters Indoor Outd...,1850,BDT,yes,,,https://makersbd.com/product/electric-hand-warmer-for-biker-ladies-indoor-outdoor-price-in-bd
swy-18650-2600mah-lithium-ion-battery,swy-18650-2600mah-lithium-ion-battery,SWY 2600mAh Capacity 2.6Ah Brand new 18650 Lithium Ion Battery,210,BDT,yes,,,https://makersbd.com/product/swy-18650-2600mah-lithium-ion-battery
neo-6m-gps-module-eeprom-with-antenna,neo-6m-gps-module-eeprom-with-antenna,NEO-6M GPS Module with Flight Control EEPROM MWC APM2.5 large antenna for arduin...,520,BDT,yes,,,https://makersbd.com/product/neo-6m-gps-module-eeprom-with-antenna
3s-type-c-lithium-battery-charing-module,3s-type-c-lithium-battery-charing-module,3S Type-C 12.6V Step-Up Boost Lithium Battery Charging Module 2A,150,BDT,yes,,,https://makersbd.com/product/3s-type-c-lithium-battery-charing-module
ir-wireless-remote-control-module-hx1838,ir-wireless-remote-control-module-hx1838,IR Wireless Remote Control & Receiver Module Kit HX1838 For Arduino Raspberry Pi,160,BDT,yes,,,https://makersbd.com/product/ir-wireless-remote-control-module-hx1838
12v-ups-battery-case-for-diy-batterypack,12v-ups-battery-case-for-diy-batterypack,12V UPS Battery Case Best Quality DIY 18650 Battery Storage Box- Black,350,BDT,yes,,,https://makersbd.com/product/12v-ups-battery-case-for-diy-batterypack
electronic-continuity-short-circuit-tester,electronic-continuity-short-circuit-tester,Electronic Continuity Short Circuit Tester with Battery,150,BDT,yes,,,https://makersbd.com/product/electronic-continuity-short-circuit-tester
awgem-sh2-portable-mini-spot-welder,awgem-sh2-portable-mini-spot-welder,Awgem SH2 Portable Mini Spot Welder Adjustable Spot Welding Machine for Lithium...,4100,BDT,yes,,,https://makersbd.com/product/awgem-sh2-portable-mini-spot-welder
pwm-dc-motor-speed-controller-low-voltage,pwm-dc-motor-speed-controller-low-voltage,PWM Motor Speed Controller 0-100% Low Voltage Speed Regulator DC 1.8V 3V 5V 6V 1...,250,BDT,yes,,,https://makersbd.com/product/pwm-dc-motor-speed-controller-low-voltage
arduino-nano-atmega-ch340-type-c,arduino-nano-atmega-ch340-type-c,Arduino Nano CH340 16Mhz ATMEGA328P Type-C Non-Weld,580,BDT,yes,,,https://makersbd.com/product/arduino-nano-atmega-ch340-type-c
