product,n_shops,n_rows,udvabony_price,udvabony_url,udvabony_name,techshopbd_price,techshopbd_url,techshopbd_name,makersbd_price,makersbd_url,makersbd_name,electronics.com.bd_price,electronics.com.bd_url,electronics.com.bd_name
ZC05 MC105 Catalytic CH4 Sensor Flammable Gas Sensor ZC05 Module Adapters Gas Sensor MC105 Methane Gas Sensor Module MC105 Sensor,1,2,230.0,https://udvabony.com/product/mc105-catalytic-ch4-sensor-mc105-gas-sensor/,MC105 Catalytic CH4 Sensor Flammable Gas Sensor MC105 Gas Sensor MC105 Methane Gas Sensor Module 2.5V 4 Pin Leads MC105 Sensor,,,,,,,,,
IMAX B3 PRO Lipo Battery Charger IMAX B3 Charger B3 Pro Compact AC 220V To 7.4V 11.1V 2S 3S Battery 10W Charger IMAX B3 Adapter Charger For Lipo Battery,2,2,390.0,https://udvabony.com/product/b3-pro-compact-charger/,IMAX B3 PRO Lipo Battery Charger IMAX B3 Charger B3 Pro Compact AC 220V To 7.4V 11.1V 2S 3S Battery 10W Charger IMAX B3 Adapter Charger For Lipo Battery,,,,,,,450.0,https://electronics.com.bd/imax-b3-rc-battery-balance-charger,iMax B3 imaxRC pro Compact Charger B3AC 2S 3S 7.4V Lithium LiPo RC Battery Balance Charger Carregador Compacto Balanceador
iMAX B6 80W 6A Lipo Battery Balance Charger With Power Supply Adapter EU Plug,2,2,2999.0,https://udvabony.com/product/imax-b6-professional-balance-charger/,iMAX B6 80W 6A Lipo Battery Balance Charger With Power Supply Adapter EU Plug,,,,,,,2950.0,https://electronics.com.bd/imax-b6-ac-80w-battery-balance-charger,iMAX B6 AC 80W Battery Balance Charger
Without Protection TP4056 5V 1A Micro USB Socket TP4056 Charging Module TP4056 Lithium Battery Charger 4056 Charging Module 3.7V Battery Charger Circuit 18650 Battery Charger,1,3,17.0,https://udvabony.com/product/tp4056-5-volt-micro-usb-charger-module/,Without Protection TP4056 5V 1A Micro USB Socket TP4056 Charging Module TP4056 Lithium Battery Charger 4056 Charging Module 3.7V Battery Charger Circuit 18650 Battery Charger,,,,,,,,,
ESC 20A ESC Speed Controller 20A ESC For Brushless Motor DC Motor Speed Controller BLDC Motor ESC20A Brushless DC Motor Speed Controller Power Supply For Motor,1,1,450.0,https://udvabony.com/product/esc-20a-brushless-motor-speed-controller/,ESC 20A ESC Speed Controller 20A ESC For Brushless Motor DC Motor Speed Controller BLDC Motor ESC20A Brushless DC Motor Speed Controller Power Supply For Motor,,,,,,,,,
Low Price Straight BRACKET DC Motor Mount Bracket Table Saw Mounting Bracket For Cutting Polishing Engraving 3D Printer CNC Machine DC Motor Bracket Saw Cutters Tools Set,1,3,20.0,https://udvabony.com/product/bracket-dc-motor-mount-bracket-table-saw/,Low Price Straight BRACKET DC Motor Mount Bracket Table Saw Mounting Bracket For Cutting Polishing Engraving 3D Printer CNC Machine DC Motor Bracket Saw Cutters Tools Set,,,,,,,,,
CNC SHIELD V4 Arduino NANO CNC Shield V4 Arduino Nano Expansion Board A4988 Driver Compatible With DRV8825 Driver Expansion Board Shield V4 For 3D Printers CNC Machine,1,3,250.0,https://udvabony.com/product/arduino-cnc-shield-v3-expansion-board-for-3d-printer/,V3 Shield Arduino Compatible CNC Shield V3 For DC Motor Driver Engraving Machine 3D Printers A4988 Driver Expansion Board,,,,,,,,,
20mm Hex Male To Female Brass Hex Threaded Pillar Standoff Spacer 20mm Brass COPPER Hex Spacer Suitable For M3 Screws Tools Sets 20mm Hex Spacer,1,1,30.0,https://udvabony.com/product/hex-spacer-18mm-female-to-male-2/,20mm Hex Male To Female Brass Hex Threaded Pillar Standoff Spacer 20mm Brass COPPER Hex Spacer Suitable For M3 Screws Tools Sets 20mm Hex Spacer,,,,,,,,,
0.45N.m NEMA17 17HS4401 DC 12V 1.3A 0.45N.m 1.8 Degree 4 Pin Cables 42BYGH L40mm NEMA 17 Stepper Motor For 3D Printer CNC Machine Stepper Motor NEMA 17 Stepper Motor 12V,1,2,1250.0,https://udvabony.com/product/nema-17-17hs4401-dc-12v-1-7a-0-45n-m-1-8-deg/,0.45N.m NEMA17 17HS4401 DC 12V 1.3A 0.45N.m 1.8 Degree 4 Pin Cables 42BYGH L40mm NEMA 17 Stepper Motor For 3D Printer CNC Machine Stepper Motor NEMA 17 Stepper Motor 12V,,,,,,,,,
2Pcs- SK8 Linear Rail Shaft Support Bracket 8mm Bore SK8 8mm Linear Bearing Rail Support XYZ Shaft Table CNC Bracket Linear Rail Shaft Rod Support End Support Shaft,1,1,380.0,https://udvabony.com/product/aluminum-alloy-sk10-linear-rail-support-10mm/,2Pcs- SK8 Linear Rail Shaft Support Bracket 8mm Bore SK8 8mm Linear Bearing Rail Support XYZ Shaft Table CNC Bracket Linear Rail Shaft Rod Support End Support Shaft,,,,,,,,,
