id,sku,name,price,currency,in_stock,categories,short_description,permalink,shop
6673,u6673,2SK3116 2SK-3116 K3116 3116 MOSFET 600V 7.5A 1.5W TO-220 Field Effect Transistor Silicon N-Channel Power MOSFET Transistor,49.0,BDT,yes,MOSFETs & IGBTs | MOSFETs,2SK3116 2SK-3116 K3116 3116 MOSFET 600V 7.5A 1.5W TO-220 Field Effect Transistor Silicon N-Channel Power MOSFET Transistor,https://udvabony.com/product/2sk3116-n-channel-high-voltage-mosfet/,udvabony
6676,u6676,2SK3451 2SK-3451 K3451 3451 MOSFET 600V 13A 80W TO-220 Field Effect Transistor Silicon N-Channel Power MOSFET Transistor,45.0,BDT,yes,MOSFETs & IGBTs | MOSFETs,2SK3451 2SK-3451 K3451 3451 MOSFET 600V 13A 80W TO-220 Field Effect Transistor Silicon N-Channel Power MOSFET Transistor,https://udvabony.com/product/2sk3451-600v-13a-80w/,udvabony
6679,u6679,2SK3515 2SK-3515 K3515 3515 MOSFET 450V 10A 48W TO-220 Field Effect Transistor Silicon N-Channel Power MOSFET Transistor,50.0,BDT,yes,MOSFETs & IGBTs | MOSFETs,2SK3515 2SK-3515 K3515 3515 MOSFET 450V 10A 48W TO-220 Field Effect Transistor Silicon N-Channel Power MOSFET Transistor,https://udvabony.com/product/2sk3515-mosfet-450v-10a-to-220/,udvabony
6682,u6682,2SK3537 2SK-3537 K3537 3537 MOSFET 8.5A TO-220 Field Effect Transistor Silicon N-Channel Power MOSFET Transistor,45.0,BDT,yes,MOSFETs & IGBTs | MOSFETs,2SK3537 2SK-3537 K3537 3537 MOSFET 8.5A TO-220 Field Effect Transistor Silicon N-Channel Power MOSFET Transistor,https://udvabony.com/product/2sk3537-11-5a-high-speed-mosfet/,udvabony
6684,u6684,2SK3549 2SK-3549 K3549 3549 MOSFET 900V 10A 270W TO-220 Field Effect Transistor Silicon N-Channel Power MOSFET Transistor,120.0,BDT,yes,MOSFETs & IGBTs | MOSFETs,2SK3549 2SK-3549 K3549 3549 MOSFET 900V 10A 270W TO-220 Field Effect Transistor Silicon N-Channel Power MOSFET Transistor,https://udvabony.com/product/2sk3549-01-high-voltage-power-mosfet/,udvabony
6686,u6686,MOV 10D471K 10D-471K Disk Type Metal Oxide Varistor ZOV For Power Supply ZOV 2 Pin Leads,20.0,BDT,yes,Capacitors | MOV & Others Capacitors,MOV 10D471K Metal Oxide Varistor 10D 471K ZOV,https://udvabony.com/product/mov-10d471k-metal-oxide-varistor-10d-471k-zov/,udvabony
6689,u6689,2SK3562 2SK-3562 K3562 3562 MOSFET 6A 600V TO-220 Field Effect Transistor Silicon N-Channel Power MOSFET Transistor,69.0,BDT,yes,MOSFETs & IGBTs | MOSFETs,2SK3562 2SK-3562 K3562 3562 MOSFET 6A 600V TO-220 Field Effect Transistor Silicon N-Channel Power MOSFET Transistor,https://udvabony.com/product/2sk3562-mosfet-6a-600v/,udvabony
6698,u6698,BS170 BS-170 BS 170 60V 0.5A N-Channel Enhancement Mode Field Effect Transistor TO-92 Package Switching FET Triode Transistor,60.0,BDT,yes,Transistors & Thyristor | Transistors,BS170 BS 170 60V 0.5A N-Channel Enhancement Mode Field Effect Transistor TO-92 Package Switching FET Triode Transistor,https://udvabony.com/product/bs170-n-channel-switching-fet-transistor/,udvabony
6701,u6701,Source Transistor 5609 NPN 20V 1A Low Power NPN Transistors TO-92L Package Bipolar Transistor Plastic 3 Pin Leads Silicon Transistors,10.0,BDT,yes,Transistors & Thyristor | Transistors,BS250 BS-250 BS 250 0.25A 45V 0.7W P-Channel D-MOSFET Transistor Switching FET Transistor TO-220 Package Electronics Parts,https://udvabony.com/product/bs250-p-channel-switching-fet-transistor/,udvabony
6707,u6707,BUZ80 BUZ-80 3.4A 800V N-Channel Power MOSFET Transistor,85.0,BDT,yes,MOSFETs & IGBTs | MOSFETs,BUZ80 BUZ-80 3.4A 800V N-Channel Power MOSFET Transistor,https://udvabony.com/product/buz80-n-channel-mosfet/,udvabony
